0,country,groups,deviceid,device,sellerid,itemid,date,views,clicks,revenue,Row Labels,Sum of clicks,Sum of revenue,Count of 0
2716,CA,treatment,5002,Other,220,1951,5/8/17,3,0,0,5/8/17,1867,20056.5075,1562
3111,CA,treatment,5006,Android,348,2239,5/8/17,5,0,0,control,893,7862.584422,747
8731,GB,treatment,5025,Android,335,1325,5/8/17,4,2,87.1610988,CA,156,1667.692925,151
1735,US,treatment,5031,Android,335,1292,5/8/17,8,2,0,CN,194,1575.653849,146
5764,CN,treatment,5031,Android,106,1967,5/8/17,6,3,0,GB,199,1543.109371,173
4747,CA,treatment,5050,Android,267,1739,5/8/17,4,1,0,US,344,3076.128277,277
6714,US,control,5055,Web,200,1717,5/8/17,5,0,0,treatment,974,12193.92307,815
1329,CN,treatment,5065,Web,297,2105,5/8/17,6,0,0,CA,194,2141.637871,173
3637,CA,treatment,5076,Web,360,2507,5/8/17,5,1,0,CN,182,2900.640014,155
5140,US,control,5082,Web,340,1208,5/8/17,5,1,0,GB,212,2307.540522,171
6815,CN,control,5095,Other,283,2819,5/8/17,3,1,0,US,386,4844.104667,316
1660,US,control,5096,Web,424,2584,5/8/17,4,0,0,5/9/17,1642,16149.8673,1657
9387,US,treatment,5099,Android,266,1305,5/8/17,10,2,0,control,823,8804.189577,828
7901,US,control,5116,Android,458,2594,5/8/17,5,1,0,CA,154,2107.173431,161
8857,GB,treatment,5121,Ios,482,1970,5/8/17,4,3,61.3564592,CN,167,1869.974116,158
9484,CN,control,5155,Ios,397,2695,5/8/17,11,4,73.78196148,GB,166,1237.552425,176
8573,US,treatment,5168,Other,445,1575,5/8/17,5,0,0,US,336,3589.489604,333
3200,US,treatment,5183,Android,298,1842,5/8/17,6,2,120.0666699,treatment,819,7345.677723,829
9983,GB,control,5186,Other,421,1605,5/8/17,5,3,86.17284149,CA,190,1904.032609,177
3230,US,control,5192,Ios,204,2303,5/8/17,7,1,0,CN,176,1395.980195,184
4936,CN,treatment,5194,Android,387,1441,5/8/17,6,1,91.08912504,GB,150,1344.066565,153
NA,US,control,5199,Android,422,1216,5/8/17,6,2,37.17039785,US,303,2701.598354,315
6699,CA,treatment,5206,Ios,378,2315,5/8/17,9,4,0,5/10/17,1582,14818.93434,1634
3665,CA,treatment,5219,Other,111,2772,5/8/17,8,1,81.9609687,control,805,6734.42455,838
8976,CA,treatment,5220,Web,351,2172,5/8/17,8,0,0,CA,178,988.9702617,176
4726,CN,treatment,5224,Ios,184,1694,5/8/17,7,0,0,CN,142,553.2197576,156
